,#05988a
Cornelia Huck,#f6e5d1
Isaac Assegai,#0b9a8d
Eugene Crosser,#ef9122
Max Asbock,#29a69a
Alex Dubov,#009688
Dinh Nguyen,#009688
Étienne Bersac,#f6ece0
Yehuda Sadeh,#f2b063
Jari Vanhala,#009688
Anil Kumar,#009688
Harald Krapfenbauer,#ef8b14
Sungchun Kang,#ee8507
Dmitry Pervushin,#dbecea
Andy Yan,#f1ad5c
Hariprasad Shenai,#f4d5b0
Zhu Richard \(NSN - CN/Beijing\),#009688
Sachin Kamat,#0d9b8e
Benson Leung,#c3e2e0
Jim Kukunas,#f5e2cc
Philipp Zabel,#009688
Sylvain Munaut,#77c5be
Ramneek Mehresh,#009688
James Lentini,#009688
Jon Paul Maloy,#f4d3ab
Dragos Carp,#009688
fkan@amcc.com,#62bdb4
Michal Ludvig,#009688
Robert Lee,#009688
Torben Hohn,#009688
Robert Tivy,#f6f6f6
Lorenzo Colitti,#009688
Karsten Merker,#009688
Ian Abbott,#f2f5f5
Youngjun Cho,#009688
Ding Tianhong,#b8dedb
Michael Reed,#cfe7e5
Hiraku Toyooka,#75c4bd
Amit Kumar Salecha,#ee8407
Igor M Liplianin,#009688
Naveen N. Rao,#009688
Cyril Roelandt,#ef8c17
Dmitry Torokhov,#ef8c16
Mat Martineau,#06988b
Varun Sethi,#009688
Zoltan Sogor,#009688
Armin Reese,#ecf3f2
Peter Oberparleiter,#f0962b
Ricardo Labiaga,#1ea295
Carlo Caione,#f6e5d2
Nathan Fontenot,#6cc1b9
Jerome Marchand,#009688
Frederic Danis,#f3bc7c
Shuah Khan,#ef8a12
Balaji Rao,#009688
Bodo Stroesser,#f3c690
John Rigby,#f1a74f
Priyanka Gupta,#009688
Jean-Christophe PLAGNIOL-VILLARD,#cfe7e5
Remis Lima Baima,#f1a954
Jens Kuske,#009688
Per Liden,#f3c895
Seiji Aguchi,#afdbd7
Frans Klaver,#009688
Stephen Boyd,#ef880e
JANAK DESAI,#009688
Yu Zhang,#009688
Stephan Mueller,#f5e2cb
Kenji Toyama,#f7f7f7
Ira W. Snyder,#009688
Denis CIOCCA,#d7eae9
Vianney le Clément de Saint-Marcq,#f2bb79
Vitaly Mayatskikh,#64bdb5
Tatsunosuke Tobita,#009688
Xudong Chen,#009688
Andreas Heider,#009688
Elias Oltmanns,#f4cc9d
Mario Limonciello,#ef9224
Li Zefan,#4fb5ab
Andreas Pokorny,#b9dfdb
Tyler Baker,#009688
Prarit Bhargava,#45b1a7
Scott Alfter,#f09e3d
Alan Ott,#c1e2df
David Fries,#f3c084
Gregory CLEMENT,#009688
Donald Johnson,#1fa296
FUKAUMI Naoki,#159e92
JJ Ding,#bce0dd
Manish Lachwani,#f2b66f
Kazuya Mizuguchi,#009688
Chunyan Zhang,#f2b66e
Edward Falk,#7dc7c0
Al Borchers,#95d0cb
Richard Nauber,#009688
Jose Miguel Goncalves,#009688
Tarun Kanti DebBarma,#ef8912
Jack Lee,#009688
Graff Yang,#d3e9e7
Erez Zilber,#3aada2
Dmitry.Tarnyagin,#6fc2ba
yanyang1,#ef8f1d
SAN People,#f5dabb
Tracey Dent,#f3bd7d
Mathieu Olivari,#009688
Fengguang Wu,#009688
G Manjunath Kondaiah,#009688
François Romieu,#f3c894
Duncan Sands,#009688
Srivatsa S. Bhat,#f5e1c8
Zhu Yi,#c1e2df
Saeed Mahameed,#f1a953
Robert Jennings,#99d2cd
Adam Belay,#d5eae8
Tianping Fang,#009688
Trent Piepho,#f5dbbd
Anshuman Khandual,#f7f3ef
Oleksandr Kozaruk,#f4d4ad
Rade Bozic,#009688
Shenwei Wang,#009688
Aaron Grothe,#f6eee3
Johannes Goetzfried,#f4cfa4
Jarkko Lavinen,#a7d7d3
Yasuaki Ishimatsu,#009688
J Freyensee,#009688
Bruce Losure,#f5dbbd
Banajit Goswami,#ee8101
David Riley,#ef8c17
Azael Avalos,#f6ebdf
H. J. Lu,#f0962d
Eliad Peller,#f4d4af
Tushar Dave,#009688
Nicolas Dichtel,#009688
Dean Luick,#a7d7d3
Felix Fietkau,#f2bc7a
Dmitry Kozlov,#009688
Renata Sayakhova,#009688
Oleg Verych,#009688
Dmitry Eremin,#f5e0c7
Vishwanathrao Badarkhe Manish,#009688
Chad Williamson,#24a498
Andreas Oberritter,#009688
Daniel Ribeiro,#009688
Fugang Duan,#e9f1f1
Varun Prakash,#eaf2f1
Jaroslav Kysela,#f2b66e
Tony Luck,#009688
Mathias Leblanc,#009688
David Milburn,#009688
Rebecca Schultz Zavin,#f6ece1
Satoru Moriya,#009688
Hai Li,#ee870c
Quentin Casasnovas,#009688
Evgeni Dobrev,#009688
Siva Reddy,#f3c793
Philip A. Prindeville,#f6e8d7
Nick Piggin,#ee870c
Andreas Petlund,#009688
Tiago Vignatti,#009688
Heinz Mauelshagen,#009688
Darrel Goeddel,#66beb6
Keith Packard,#009688
Tzachi Perelstein,#009688
Venkata Mohan Reddy,#e0eeed
Roy Franz,#ee8406
Stefan Peter,#009688
Tirumala Marri,#36aba0
Vijay Subramanian,#76c4bd
Andrey Ryabinin,#2ea89d
Parav Pandit,#f3f5f5
Avi Kivity,#f09b36
William Breathitt Gray,#f5d8b6
Noralf Trønnes,#9ad2cd
Lukas Wunner,#009688
zhao zhang,#009688
Zhiwu Song,#f5e0c6
Vinson Lee,#ef9020
Manjunath Kondaiah G,#009688
Bryan Schumaker,#c3e3e0
Tom L. Nguyen,#f09c39
Diego Beltrami,#009688
Kirill A. Shutemov,#ee8304
Zhao Qiang,#009688
Sjur Brændeland,#009688
Jaime Velasco Juan,#009688
Pekka Paalanen,#009688
Sathya Prakash M R,#009688
Vlad Dogaru,#f1a346
David Woods,#a1d5d0
John Ogness,#ef8e1b
Kukjin Kim,#f2b771
Senthilvadivu Guruswamy,#009688
Romain Perier,#009688
Suresh Siddha,#f7f6f4
Sean O. Stalley,#f3be81
Johannes Stezenbach,#abd9d5
Lejun Zhu,#009688
David P. Reed,#009688
Egor Martovetsky,#009688
Varka Bhadram,#f5dabb
Janne Kanniainen,#009688
Michael Mueller,#f4d0a6
Eric Anholt,#f7f1ea
Maarten ter Huurne,#20a397
Bernhard Kaindl,#f5d7b5
Kai Vehmanen,#1ba194
Roland Dreier,#e3efee
Brilly Wu,#009688
Giuseppe Coviello,#009688
Simon Arlott,#009688
Julie Zhu,#009688
Kaiwan N Billimoria,#009688
Manuel Lauss,#f3bc7c
Adrian Knoth,#84cac3
Hideaki Yoshifuji,#009688
Krishna Mohan Dani,#009688
David Lanzendörfer,#e8f1f0
David Miller,#009688
Brad Hards,#93d0ca
Florian Meier,#c5e3e0
Naoya Horiguchi,#009688
K.Prasad,#f6e8d7
Eyal Shapira,#ef901f
Javi Merino,#009688
Veaceslav Falico,#009688
Keith Busch,#009688
KOSAKI Motohiro,#009688
Matt Carlson,#009688
Anders Berg,#009688
Bojan Smojver,#f6eee3
Naidu Tellapati,#009688
York Sun,#41b0a5
Harald Geyer,#addad6
Alex Shi,#009688
Christoph Pfister,#f1a64d
Niklas Söderlund,#72c3bb
Pauli Nieminen,#f2bc7b
venkatesh.pallipadi@intel.com,#70c2ba
Konrad Zapalowicz,#f5d9b8
Kurt Hackel,#40afa5
Tomáš Čech,#009688
Mark Haverkamp,#f2bc7b
Nimrod Andy,#9dd4cf
Chandrabhanu Mahapatra,#c1e2df
Michal Suchanek,#009688
Mathias Gottschlag,#ef8d1a
Roman Kagan,#05988a
Zoltan Kiss,#009688
Michael Williamson,#f2b46c
Pekka Enberg,#b4ddd9
Jurriaan,#f1a54c
Hansjoerg Lipp,#d0e8e5
Juerg Haefliger,#cde6e4
danborkmann@iogearbox.net,#b3dcd8
Julien May,#f1aa55
Alexander Shishkin,#94d0cb
Pete Eberlein,#b1dcd8
Mike Turquette,#009688
Ryan Wilson,#f2b874
Kaixu Xia,#90cfc9
Jan Nikitenko,#d4e9e7
Paulo Zanoni,#92cfca
Yu Xu,#81c9c2
Christian Hemp,#009688
Geert Uytterhoeven,#2ca79c
Rahul Sharma,#f1a348
Eduardo Habkost,#009688
Jean-Sebastien A. Beaudry,#009688
Victor Gallardo,#f1a44a
Arnout Engelen,#009688
Ed Lin,#009688
Ge Gao,#f0952a
Tom Lendacky,#f5dabb
Mircea Gherzan,#b3dcd9
Dmitri Vorobiev,#51b6ad
Weston Andros Adamson,#18a093
Anand Gadiyar,#009688
Yongqiang Yang,#f7f1e9
Nicolas Pitre,#009688
Wei Liu,#f5ddc1
David Herrmann,#f3bd7e
Sergei Kolzun,#009688
Chuanxiao Dong,#f4d0a6
Harvey Harrison,#009688
Priyanka Jain,#97d1cc
Jeremy Kerr,#ef8e1a
Rostislav Lisovy,#86cbc4
Christoph Fritz,#009688
Tomasz Grobelny,#80c8c2
Jakub Sitnicki,#a5d7d2
Tomeu Vizoso,#f5dfc4
Yuanhan Liu,#f2b46b
Jean-Paul Saman,#009688
Auke Kok,#6cc1b9
Richard Lemon,#009688
Erik Bosman,#f2b268
Andy Gospodarek,#009688
The etnaviv authors,#f6e8d7
Wai Yew CHAY,#e3efee
Kurt Van Dijck,#f5e2cc
Michael Welling,#28a69a
Dasaratharaman Chandramouli,#c9e5e2
Dennis Dalessandro,#ee870d
Kristian Høgsberg,#009688
Kristoffer Nyborg Gregertsen,#009688
Todd Inglett,#009688
Andreas Larsson,#009688
fan.du,#009688
Ashutosh Dixit,#32aa9f
Bastien Nocera,#009688
Danilo Cesar Lemes de Paula,#99d2cd
Chandra Seetharaman,#61bcb4
Olivier Scherler,#009688
Sven Schnelle,#009688
Siva Yerramreddy,#a9d8d4
Daniel Vetter,#8ecec8
Matt Roper,#009688
Moritz Fischer,#009688
Georgi Djakov,#f1ae5e
Xiao Jiang,#009688
Ankit Gupta,#009688
Saeed Bishara,#f6eee5
Maciej W. Rozycki,#52b6ad
Liu Gang,#85cac4
Juri Lelli,#0a9a8c
Hanjun Guo,#009688
Ash Hughes,#46b1a7
Andrew Victor,#e8f1f0
Manu Abraham,#f2b46c
Jay Cliburn,#f4d6b2
Marc Titinger,#0e9c8e
Dongjin Kim,#009688
Karol Herbst,#f5dec3
Thomas Huth,#75c4bd
Milan Jurik,#f6eee4
Runzhen Wang,#dbecea
Naga Chumbalkar,#edf3f3
He Kuang,#cae5e3
Andries E. Brouwer,#009688
Minghuan Lian,#f5e2cb
Michal Januszewski,#ef901f
Hongtao Jia,#f3c691
Octavian Purdila,#009688
Graeme Gregory,#009688
Stefan Bader,#cce6e4
Pavel Rojtberg,#f09831
Eduard Hasenleithner,#009688
Frederick van der Wyck,#009688
Carlos O'Donell,#009688
Paul B Schroeder,#61bcb3
Antti Koskipaa,#7ec8c1
Krzysztof Kozlowski,#009688
Dean Nelson,#b4ddd9
Jens Osterkamp,#f7f1eb
Matthew Dobson,#009688
Vincent Yang,#f1a245
Mike Anderson,#009688
Tomasz Figa,#c7e4e1
Hermann Kneissel,#eff4f3
Stuart Brady,#009688
Kapil Hali,#f1ab57
Pratik Patel,#f3bd7d
Suresh E. Warrier,#83c9c3
Sachin Prabhu,#f0f4f4
Peter Rosin,#009688
Michael Poole,#009688
Andi Kleen,#009688
Sachin Sanap,#74c4bc
Guangliang Zhao,#ee8304
Lan Tianyu,#f3bf81
David Hardeman,#009688
Mike Arthur,#009688
Zhang Le,#a3d6d1
harninder rai,#1aa094
Martin Schwidefsky,#99d2cd
Trond Myklebust,#3eaea4
Javier Cardona,#f4cc9e
Martin Strubel,#e4efee
Bing Zhao,#40afa5
IKEDA Munehiro,#f0a142
Alex Porosanu,#89ccc6
Kelvin Cheung,#009688
Eiichiro Oiwa,#f0952b
Davide Ciminaghi,#009688
Michael Neuling,#f7f4f0
Marcel Holtmann,#f4c997
Marc Kleine-Budde,#009688
Wu Zhangjin,#f1a750
James P Michels III,#009688
Alex Ling,#009688
Petko Manolov,#c9e5e2
Ralf Hoppe,#ee870c
Bo Shen,#f1a449
Oskar Schirmer,#009688
anantha,#009688
Daeseok Youn,#f3c48c
Waldemar Rymarkiewicz,#ef901f
Milo(Woogyom) Kim,#ef8e1b
Chao Yu,#f6f7f7
Jamie Lentin,#009688
Jon Mason,#009688
Thayne Harbaugh,#f5e2cb
Stanislav Kinsbursky,#39aca2
Anton Vorontsov,#f6e8d7
Al Cooper,#009688
Mark Rutland,#f7f6f4
Alan Tull,#b0dbd7
Seymour Shane M,#0d9b8e
Mythri P K,#f4ca98
Akinobu Mita,#009688
Pali Rohár,#009688
Ravikiran G Thirumalai,#009688
Yan Zheng,#f2b369
Toshiharu Okada,#98d2cc
Filipe Brandenburger,#009688
H Hartley Sweeten,#f3bf82
Rameshwar Prasad Sahu,#0c9b8d
Douglas Thompson,#56b8af
anish kumar,#f1a750
Jiancheng Xue,#009688
Holger Freyther,#009688
Wei Yongjun,#f1af60
Doug Anderson,#cae5e3
Sasha Khapyorsky,#9bd3ce
Trilok Soni,#f1aa56
Andrei Warkentin,#009688
Thierry MERLE,#a6d7d3
Qing Xu,#009688
Tiejun Chen,#009688
Andrii.Tseglytskyi,#43b0a6
Andrew Morgan,#009688
Harald Freudenberger,#f0962c
Bryan W. Headley,#f1ac5a
Erik Hugne,#68bfb7
Steven A. Falco,#009688
Karol Wrona,#009688
Feng Tang,#009688
Matt Domsch,#009688
Christoffer Dall,#f2b56d
Ben Dooks,#85cac4
Patrice Chotard,#f2b66f
Andrew Bresticker,#4bb4aa
Kevin Curtis,#f2b975
Hannes Reinecke,#a3d6d1
Manish Ahuja,#009688
Sudip Mukherjee,#60bcb3
Dylan Reid,#65beb5
Ashish Jangam,#f1ab58
Manuel Stahl,#5ab9b1
Sven Schuchmann,#009688
Rémi Denis-Courmont,#3bada3
Peter Ma,#f1aa55
Anton Salnikov,#4eb4ab
Andrey Vagin,#deedec
Matt Evans,#72c3bb
Gilbert Wu,#80c8c1
Takashi Iwai,#f7f7f6
Phillip Lougher,#46b2a8
Harninder Rai,#009688
Lendacky Thomas,#f4d3ad
Holger Schurig,#ef9121
Roman Fietze,#009688
Tony Jones,#8ecec8
Matthias Kaehlcke,#009688
Atul Mukker,#ef880e
Joshua Henderson,#f7f2ec
Benjamin LaHaise,#009688
Michael Hennerich,#18a093
David Wilder,#f6eee5
Ian Lartey,#009688
Jesper Dangaard Brouer,#f5f6f6
Frank Praznik,#f5d8b6
David Dillow,#f4d4ad
Martyn Welch,#f5ddc0
M R Swami Reddy,#f2b874
Davide Ferri,#daebea
Aristeu Sergio Rozanski Filho,#009688
Ezequiel García,#f3bf81
Oleksij Rempel,#f4cea2
Pratheesh Gangadhar,#f3c896
Jerry Huang,#bbe0dc
Eric Nelson,#009688
Rabeeh Khoury,#009688
Ong Boon Leong,#f6e6d4
Ricardo Cerqueira,#f2b66e
Daniel Axtens,#009688
H. Peter Anvin,#009688
Wanpeng Li,#f6e7d6
Joel Stanley,#99d2cd
Hiroshi DOYU,#f3be80
Shreshtha Kumar Sahu,#009688
Arthur Kepner,#6ec1b9
Patrik Jakobsson,#f6eee3
Peter Chen,#f09c38
Naveen Kumar Gaddipati,#f0952b
Jonathan Cameron,#009688
Beni Lev,#009688
Ben Goz,#0e9c8e
Ian E. Morgan,#009688
Anton Saraev,#81c9c2
Vinod Koul,#cee7e5
Andrew Vasquez,#43b0a6
Seth Forshee,#009688
Mark Salyzyn,#9ad2cd
Yi Zou,#f5dbbc
Andrew Patterson,#78c5be
Dennis Menschel,#f09d3b
Ruslan Bilovol,#009688
Szymon Janc,#f2b771
Alexander Holler,#009688
Stefan Behrens,#8bcdc7
Krzysztof Helt,#009688
Haiying Wang,#f4cfa2
Stefano Stabellini,#3fafa4
Hendrik Brueckner,#18a093
Esben Nielsen,#ee860b
David T.L. Wong,#f09a35
George T. Joseph,#30a99d
David Basden,#f2bb78
Michael Schmitz,#009688
Ben Young Tae Kim,#f5d8b6
Marcin Slusarz,#ef8c17
Maurus Cuelenaere,#d3e9e7
Anton Tikhomirov,#ef8910
Steven Miao,#07998b
Mahesh Salgaonkar,#51b6ac
Ørjan Eide,#009688
Oded Gabbay,#ecf3f2
Takashi Sakamoto,#ef9223
Niklas Cassel,#009688
Chris Mason,#e8f1f0
Jaegeuk Kim,#f6e5d1
Wolfgang Denk,#009688
Sylvain Meyer,#aad9d4
Sucheta Chakraborty,#f5e0c7
Mika Laitio,#f3c793
Kenneth Westfield,#f6e9da
Kevin Lo,#009688
Richard Genoud,#84cac4
Anna Schumaker,#f4ca99
jilai wang,#009688
Luca Olivetti,#f4cb9a
Nicolas Ferre,#009688
dann,#f1a74f
Bharata B Rao,#f1f5f4
addy ke,#f6efe6
Kuninori Morimoto,#ef8a13
huajun li,#ef901f
YH Huang,#009688
Jan Klötzke,#f5dfc5
Keir Fraser,#009688
Brian Austin,#a2d6d1
Laura Abbott,#ef9428
Konrad Rzeszutek,#009688
Philippe Reynes,#f09c38
Dennis Munsie,#f09f3e
Ilan Elias,#ef9326
Yuan-Hsin Chen,#addad6
Stefan Kristiansson,#009688
Faisal Latif,#d6eae8
Anton Ivanov,#42b0a6
Arun Kumar K,#f3c690
Kent Overstreet,#f5ddc0
françois romieu,#f3c58e
Stephen M. Cameron,#009688
David George,#009688
Joseph Lai,#009688
Kenneth W Chen,#f4cea2
Stefan Weinhuber,#f6ebdd
Jerry Wong,#64bdb5
Anup Patel,#f3c083
Madalin Bucur,#009688
Mitko Haralanov,#4eb5ab
Loic Poulain,#f1a852
hartleys,#009688
Carl Love,#c0e2de
Darren Hart,#f2b46a
Ira Snyder,#009688
Anuj Aggarwal,#009688
Benoit Goby,#009688
Ashish Kalra,#009688
Elina Pasheva,#ee8202
Izik Eidus,#009688
Darius Augulis,#ef9224
Evgeniy Polyakov,#f2b56e
Jakob Bornecrantz,#26a599
Jisheng Zhang,#ef9020
Jon Medhurst,#addad6
Jerry Chu,#009688
Dustin McIntire,#cde7e4
Böszörményi Zoltán,#009688
Wei WANG,#b6ddda
Jim Quinlan,#f2b56e
Enrico Mioso,#009688
Cliff Wickman,#eff4f3
Haggai Abramonvsky,#f7f5f3
Chander Kashyap,#009688
Barry Naujok,#f5d8b6
Zhangfei Gao,#5fbbb3
Matti Aaltonen,#009688
Corey Minyard,#009688
Richard Kuo,#f09f3e
Pat Gefre,#4eb5ab
Ravinandan Arakali,#009688
Michal Marek,#78c5be
Xiao Guangrong,#e7f1f0
LABBE Corentin,#f5dec3
Valentin Rothberg,#009688
remi schwartz,#f2b771
Sébastien Szymanski,#009688
Rongjun Ying,#f7f4f1
Kevin Tsai,#3eaea4
Cody P Schafer,#f5e0c7
Leif Lindholm,#e9f2f1
Yuan Kang,#f5daba
Tom Herbert,#009688
Deepthi Dharwar,#cae5e3
Alex Aizman,#009688
Boris Ostrovsky,#f2bb79
Hiroshi Doyu,#009688
Hema HK,#f3c894
Andrei Emeltchenko,#e0eeed
Howard Chen,#009688
Paul Bolle,#66beb6
Linus Torvalds,#f2b771
Bahadir Balban,#aedad6
Utz Bacher,#009688
Marek Vašut,#009688
Álvaro Fernández Rojas,#f1a54c
Ian Campbell,#f7f7f6
Mahesh Bandewar,#f6efe6
Peter Ujfalusi,#ef8f1e
Arnaud Patard,#f3c38a
Philip Avinash,#f4d3ad
Masahiro Yamada,#f2bc7b
Minchan Kim,#009688
Alex Villacís Lasso,#f5e1c9
Vladimir Barinov,#009688
Fabian Frederick,#009688
Oliver Schinagl,#f0952a
Devesh Sharma,#f2af61
Moore Eric,#bfe1de
Vlad Yasevich,#33aa9f
Chao Fu,#8bcdc6
Juha Yrjola,#009688
Daniel Wolstenholme,#7cc7c0
Petri Gynther,#009688
Andy Zhou,#009688
Ashok Raj,#009688
Liu Ying,#f3c997
Kristoffer Glembo,#009688
Pierrick Hascoet,#b6deda
Nick Kossifidis,#f6f0e8
Glauber Costa,#3eaea4
Zbynek Michl,#009688
Sandeep Nair,#f6e3ce
Roberto Vitillo,#009688
Thor Thayer,#ef9122
Konrad Rzeszutek Wilk,#69bfb7
Vegard Nossum,#8accc6
Sven Anders,#009688
Arthur Benilov,#f1a347
Sriramakrishnan Govindarajan,#009688
Alexey Kuznetsov,#009688
Richard Guy Briggs,#009688
Matthias Brugger,#009688
Greg Rose,#aedad6
Ninja Tekkaman,#f5e0c7
Don Prince,#f4d4ad
Chris R. Baugher,#7cc7c0
Binghua Duan,#009688
Daniel Laird,#a2d6d1
Kurt Robideau,#009688
Marcelo Tosatti,#009688
Simo Sorce,#f3c690
Sujith Manoharan,#c1e2df
Benjamin Gaignard,#29a69a
Eric W. Biederman,#009688
Davide Libenzi,#009688
Keiichi Kii,#34aa9f
Chandrakala Chavva,#f4cda0
Jia Hongtao,#f6ede1
Jacob Pan,#3aada2
Ken Kawasaki,#f2ba77
Pi-Cheng Chen,#dceceb
Kenneth Klette Jonassen,#009688
Melissa Howland,#f6e4cf
Yury Norov,#009688
Georges Toth,#009688
Mark Goodwin,#27a59a
Alex Tomas,#89ccc6
Scott Feldman,#f3c38a
Gary Hade,#f6ebdd
HATAYAMA Daisuke,#c4e3e0
Alexey Charkov,#009688
Hiral Patel,#7dc7c0
Hartmut Rick,#e8f1f0
Max Vozeler,#009688
Daniel J Blueman,#5ebbb2
Ville Syrjala,#6dc1b9
Sergey Ryazanov,#009688
cxie4,#89ccc6
Ping Cheng,#8ccdc7
Gwendal Grignou,#4ab3a9
Heiko Carstens,#ee8406
Sowmini Varadhan,#009688
Patrick Dreker,#009688
Raymond Tan,#009688
Nithish Mahalingam,#009688
Rom Lemarchand,#c1e2df
Hans-Jürgen Koch,#acdad5
Rafael Ignacio Zurita,#9bd3ce
Mike Kravetz,#009688
MyungJoo Ham,#dbeceb
Hyok S. Choi,#f3bf83
Keerthy,#f5e0c6
Thomas Pugliese,#64bdb5
Leela Krishna Amudala,#f4cfa3
Chris Pascoe,#009688
ashishj3,#009688
Antony Pavlov,#f7f4f1
Isaku Yamahata,#27a599
stigge@antcom.de,#009688
Wensong Zhang,#ef8b16
Bob Tracy,#7cc7c0
Colin Cross,#f4d4ad
Subhendu Sekhar Behera,#009688
Hong H. Pham,#54b7ae
Måns Rullgård,#009688
Ray Jui,#78c5be
Daniel Tang,#66beb6
Jing Min Zhao,#009688
Diego Elio Pettenò,#009688
Robert Moore,#f09b37
Mark Langsdorf,#009688
Alan Cox,#129d90
Paolo Bonzini,#56b8af
Jun Nie,#8accc6
Justin P. Mattock,#3caea3
Baruch Siach,#f3c792
David Kershner,#f3f6f5
Németh Márton,#009688
Anirudh Ghayal,#009688
Yazen Ghannam,#ef9427
Richard Henderson,#51b6ac
Doug Warzecha,#f09a34
Andrew de Quincey,#e6f0ef
Fabio Baltieri,#009688
Rasmus Villemoes,#009688
Vitaly Wool,#009688
Bruce E. Robertson,#20a396
Roopa Prabhu,#009688
Pete Zaitcev,#eaf2f1
Mike Frysinger,#f1a246
Amit Shah,#f3c996
Tanmay Inamdar,#009688
Jason Low,#009688
Alek Du,#009688
Pavel Pisa,#f1a851
Olivier Grenie,#31a99e
David McCullough,#c2e2df
Terje Bergstrom,#6ac0b8
Peter Popovec,#f4d4ad
Ali Bahar,#d4e9e7
Peter Hsiang,#009688
Suresh B. Siddha,#f09f3e
James Hsiao,#f5e1c9
Irina Tirdea,#f5e3cd
Albin Tonnerre,#009688
Erik Andren,#a4d6d2
Krishna Gudipati,#f0f4f4
Srikanth Thokala,#009688
Zi Shen Lim,#f4d4af
Roger Chen,#009688
Jean-Baptiste Theou,#009688
Amit Daniel Kachhap,#f0972e
Dmitry Artamonow,#009688
Simon Kagstrom,#009688
Dan Williams,#f0972d
Alex Zeffertt,#f0962d
Ilia Mirkin,#95d1cb
Richard Russon,#009688
Alexey Starikovskiy,#f4cc9d
Dean Anderson,#6dc1b9
Herbert Xu,#009688
Cho Yu-Chen,#f3c48b
Marek,#f2bb79
David Glance,#f5dec3
dann frazier,#009688
Pavan Savoy,#f6e9da
Daniel Thompson,#8ccdc7
Josef Jeff Sipek,#009688
sandeen@sandeen.net,#f2b062
David Barksdale,#28a69a
Glenn Griffin,#009688
Max Filippov,#23a498
Zhu Qingsen,#f1ad5b
Christoph Rohland,#009688
Jay Vosburgh,#cae5e3
Mark Charlebois,#009688
Fang Yang A,#93d0ca
Alvaro Neira,#b3dcd9
Andreas Eversberg,#7fc8c1
Scott_Kilau@digi.com,#d0e7e5
Lorenzo Bianconi,#d4e9e7
Matthias Schwarzott,#f5d7b3
YoungJun Cho,#f4d2a9
Hui Wang,#46b1a7
Nathan Scott,#f6eadc
Austin Zhang,#85cac4
Hari Bathini,#009688
Joachim Fritschi,#f6eadb
Leon Romanovsky,#009688
Jakob Haufe,#f2f5f5
Vaidyanathan Srinivasan,#f5ddc1
Punit Agrawal,#009688
Fernando Luis Vázquez Cao,#009688
Thomas Chou,#009688
Ryan S. Arnold,#f5dec3
Bengt Jonsson,#f09830
Shinya Kuribayashi,#2fa89d
Richard Zhao,#009688
Piotr Haber,#b4ddd9
Pavel Shilovsky,#f4c997
Sascha Hauer,#36aba0
Keith M. Wesolowski,#f4d0a5
Philippe Gerum,#1da195
Miguel Ojeda Sandonis,#009688
Thomas Falcon,#f5dbbc
YOSHIFUJI Hideaki / 吉藤英明,#009688
Artem B. Bityutskiy,#f0972e
Abraham Arce,#009688
Radha Mohan Chintakuntla,#9cd3ce
Tan Swee Heng,#cee7e4
Chen Liqin,#addad6
Huang Ying,#c3e3e0
Michael Halcrow,#57b8af
Ville Nuorvala,#009688
Adam Jackson,#009688
Vipin Kumar,#50b5ac
Mark Gross,#78c5be
Mark Maule,#55b7ae
Herbert Poetzl,#009688
Kevin Wells,#009688
Jeff Mahoney,#64bdb5
Rashika Kheria,#009688
Kirk Lapray,#009688
Dreyfuss Haim,#009688
Shadi Ammouri,#009688
Paul Gortmaker,#009688
Kai Germaschewski,#009688
Yu Ke,#1fa296
Vijaya Kumar K,#159e92
Ishizaki Kou,#7fc8c1
Li Aubrey,#009688
Mark F. Brown,#a5d7d2
Dipankar Sarma,#009688
Sage Ahn,#f6e5d2
Sonny Rao,#009688
Anatolij Gustschin,#55b7ae
Filipe Manana,#5cbab1
John Bonesio,#d9ebe9
Bala Shanmugam,#f4cfa3
Sebastian Hahn,#f4cd9f
Jeff Layton,#f5e2cb
Nitin Gupta,#f1a954
Jay Estabrook,#e8f1f0
Michal Schmidt,#009688
Scott Murray,#30a99d
Grant Erickson,#e6f0ef
Tien Hock Loh,#009688
Andrew G. Morgan,#009688
Valentin Raevsky,#009688
Roger Tseng,#f4cfa4
Lawrence Yu,#009688
Ben Fennema,#f4d3ac
Justin T. Gibbs,#f7f7f7
David Hildenbrand,#f2ba78
Zhang Jiejing,#009688
Shimoda Yoshihiro,#009688
Jungseung Lee,#009688
Jan Willeke,#009688
Bruno Randolf,#009688
Zhang Rui,#f2b975
George McCollister,#009688
FUJITA Tomonori,#009688
Donggeun Kim,#009688
Virupax Sadashivpetimath,#009688
Tim Chen,#f3be7f
Maksim Krasnyanskiy,#49b3a9
Kylene Hall,#30a99e
AKASHI Takahiro,#009688
Wan ZongShun,#8fcec8
Rafa� Bilski,#f09b37
Victor Kamensky,#009688
Herbert Valerio Riedel,#009688
Todd E. Johnson,#f5d7b4
Joe Liccese,#ef8b15
Eddie Dong,#f7f4f1
Christoph Hellwig,#ef8810
Alim Akhtar,#f3c185
Stef van Os,#7cc7c0
Michael Chan,#ef8c16
Richard Fitzgerald,#7cc7c0
Pritesh Raithatha,#009688
chas williams - CONTRACTOR,#f7f5f3
strnape1@fel.cvut.cz,#22a397
Ben Skeggs,#25a599
David Altobelli,#45b1a7
Liu Jinsong,#b4ddd9
linus1,#f7f6f4
Alexander Graf,#57b8af
Luca Barbieri,#009688
Luciano Coelho,#d2e9e6
David Ruggiero,#009688
Thomas Gleixner,#ddedeb
Thomas Mair,#009688
